,doc,word,cluster
0,0,37,6
1,1,37,25
2,2,37,3
3,4,37,2
4,5,37,5
5,6,37,7
6,7,37,7
7,9,37,7
8,10,37,18
9,12,37,9
10,13,37,7
11,14,37,2
12,15,37,9
13,16,37,2
14,17,37,29
15,18,37,1
16,19,37,15
17,21,37,7
18,22,37,4
19,23,37,7
20,24,37,3
21,26,37,7
22,27,37,2
23,28,37,2
24,29,37,7
25,30,37,1
26,31,37,1
27,32,37,1
28,33,37,7
29,34,37,7
30,36,37,9
31,37,37,2
32,38,37,2
33,39,37,7
34,40,37,1
35,41,37,1
36,42,37,5
37,43,37,2
38,44,37,7
39,46,37,2
40,47,37,3
41,48,37,1
42,50,37,3
43,51,37,2
44,52,37,1
45,53,37,3
46,54,37,7
47,55,37,1
48,57,37,14
49,58,37,7
50,59,37,4
51,61,37,7
52,63,37,5
53,64,37,7
54,65,37,8
55,67,37,1
56,68,37,8
57,69,37,3
58,70,37,11
59,71,37,4
60,72,37,7
61,73,37,4
62,76,37,7
63,77,37,10
64,78,37,3
65,79,37,7
66,80,37,1
67,81,37,1
68,82,37,2
69,84,37,7
70,85,37,7
71,88,37,7
72,89,37,7
73,91,37,3
74,92,37,8
75,94,37,7
76,95,37,9
77,96,37,6
78,100,37,4
79,101,37,8
80,103,37,7
81,104,37,2
82,105,37,9
83,107,37,3
84,108,37,9
85,109,37,7
86,110,37,7
87,111,37,3
88,112,37,8
89,113,37,2
90,114,37,5
91,115,37,9
92,116,37,3
93,118,37,7
94,119,37,7
95,120,37,1
96,121,37,8
97,123,37,12
98,125,37,6
99,127,37,7
100,128,37,1
101,129,37,17
102,130,37,7
103,131,37,7
104,132,37,6
105,133,37,7
106,134,37,3
107,135,37,4
108,136,37,7
109,137,37,6
110,138,37,2
111,140,37,7
112,141,37,5
113,143,37,10
114,144,37,7
115,145,37,7
116,146,37,12
117,147,37,1
118,149,37,1
119,150,37,2
120,151,37,3
121,152,37,44
122,153,37,1
123,154,37,6
124,155,37,5
125,156,37,7
126,159,37,7
127,161,37,9
128,162,37,2
129,163,37,7
130,164,37,7
131,165,37,2
132,166,37,2
133,168,37,3
134,169,37,2
135,170,37,1
136,171,37,3
137,172,37,2
138,173,37,1
139,174,37,7
140,175,37,9
141,176,37,8
142,177,37,3
143,178,37,4
144,179,37,9
145,180,37,32
146,181,37,4
147,182,37,7
148,183,37,7
149,187,37,3
150,188,37,7
151,189,37,7
152,190,37,7
153,191,37,10
154,192,37,3
155,195,37,7
156,196,37,1
157,197,37,2
158,198,37,3
159,199,37,7
160,200,37,4
161,201,37,7
162,203,37,7
163,205,37,17
164,206,37,1
165,207,37,2
166,208,37,2
167,209,37,9
168,210,37,3
169,211,37,1
170,212,37,8
171,215,37,3
172,216,37,4
173,217,37,15
174,218,37,4
175,219,37,1
176,221,37,11
177,222,37,2
178,223,37,7
179,224,37,1
180,225,37,7
181,226,37,6
182,227,37,4
183,228,37,10
184,229,37,3
185,230,37,10
186,231,37,5
187,232,37,2
188,233,37,6
189,234,37,4
190,235,37,9
191,236,37,1
192,237,37,6
193,238,37,7
194,239,37,5
195,240,37,7
196,241,37,1
197,242,37,7
198,243,37,9
199,244,37,3
200,245,37,7
201,246,37,8
202,247,37,8
203,249,37,44
204,250,37,1
205,251,37,7
206,252,37,7
207,253,37,6
208,254,37,1
209,255,37,9
210,256,37,4
211,257,37,9
212,258,37,7
213,260,37,7
214,261,37,7
215,262,37,7
216,263,37,8
217,265,37,7
218,266,37,7
219,267,37,7
220,268,37,2
221,269,37,7
222,270,37,5
223,271,37,1
